instrument,date,R
EURUSD,2013-11-20,0.3443
USDCHF,2013-11-25,0.0
EURGBP,2013-12-06,0.0
EURGBP,2014-01-02,0.0
GBPUSD,2014-01-14,-1.0
AUDUSD,2014-01-16,2.0
USDCHF,2014-01-21,-1.0
USDJPY,2014-01-24,2.0586
EURUSD,2014-01-31,-1.0
GBPUSD,2014-02-03,-1.0
USDCHF,2014-02-04,2.0
AUDUSD,2014-02-05,2.0
GBPUSD,2014-03-04,0.0
USDJPY,2014-03-05,0.0
USDCHF,2014-03-20,0.0
EURUSD,2014-03-27,2.0
USDJPY,2014-04-09,0.0
NZDUSD,2014-04-16,-1.0
AUDUSD,2014-04-24,-0.4919
EURGBP,2014-06-10,2.0
USDCHF,2014-06-17,0.0
USDJPY,2014-06-18,-1.008
EURGBP,2014-06-30,-1.0
AUDUSD,2014-07-07,-1.0
USDJPY,2014-07-07,-1.005
NZDUSD,2014-07-16,2.0
GBPUSD,2014-07-18,2.0
EURUSD,2014-08-12,2.0
AUDUSD,2014-08-27,0.0
GBPUSD,2014-09-19,-1.0
USDJPY,2014-10-06,-1.01
EURGBP,2014-10-14,0.4104
EURUSD,2014-10-16,-1.0
NZDUSD,2014-10-16,-0.2976
USDCHF,2014-10-16,-1.0
USDJPY,2014-10-24,1.896
AUDUSD,2014-11-04,2.0
GBPUSD,2014-12-01,2.0
USDCHF,2014-12-15,-1.0
AUDUSD,2015-01-12,-1.0
NZDUSD,2015-01-16,-1.0
USDJPY,2015-01-26,-0.4392
EURUSD,2015-02-13,-1.0
GBPUSD,2015-03-03,2.0
NZDUSD,2015-03-06,2.0
EURGBP,2015-03-24,-0.6164
GBPUSD,2015-03-25,-1.0
EURUSD,2015-04-01,-1.0
NZDUSD,2015-04-01,2.0
USDCHF,2015-04-08,-1.0
USDJPY,2015-05-14,-0.9922
USDCHF,2015-05-19,0.0
EURUSD,2015-06-03,-0.6055
USDCHF,2015-06-30,-1.0
EURGBP,2015-07-14,0.0
USDJPY,2015-07-14,0.0
GBPUSD,2015-07-15,-1.0
NZDUSD,2015-07-29,-1.0
EURGBP,2015-08-19,-1.0
USDJPY,2015-09-02,-0.1518
AUDUSD,2015-09-17,-0.1758
EURGBP,2015-09-17,-1.0
EURUSD,2015-09-18,-1.0
GBPUSD,2015-09-23,2.0
USDCHF,2015-10-07,0.0
GBPUSD,2015-10-15,-1.0
AUDUSD,2015-12-28,-1.0
EURUSD,2015-12-28,-1.0
USDCHF,2015-12-28,-1.0
NZDUSD,2016-01-05,2.0
EURUSD,2016-01-08,2.0
USDCHF,2016-01-12,0.0
NZDUSD,2016-01-28,-1.0
AUDUSD,2016-02-03,-1.0
GBPUSD,2016-02-04,-1.0
EURUSD,2016-02-23,-1.0
NZDUSD,2016-02-23,0.0
USDCHF,2016-02-23,-1.0
USDJPY,2016-03-09,2.1115
EURGBP,2016-03-14,-1.0
GBPUSD,2016-03-16,-1.0
AUDUSD,2016-04-07,0.0
NZDUSD,2016-04-18,0.0
NZDUSD,2016-05-04,0.0
USDJPY,2016-05-11,-1.044
EURUSD,2016-05-12,-1.0
EURGBP,2016-05-17,2.0
EURGBP,2016-06-02,2.0
EURUSD,2016-06-06,-1.0
AUDUSD,2016-06-08,0.8576
NZDUSD,2016-06-28,-1.079
USDJPY,2016-07-05,0.2813
USDCHF,2016-07-29,0.0
